
👨🏻自用流,#genre#
苏迪曼杯现场回传主路,http://cba-exchange-hd.youku.com/cba-matrix/SudirmanLive-main.m3u8?auth_key=1735900770-0-0-721215015fd48e293ea985eba292c3aa&cdnQuality=orig

🎤羽毛球解说流,#genre#
望京B1演播室大棚主,http://cba-exchange-hd.youku.com/cba-matrix/YMQwjMain.m3u8?auth_key=1735900770-0-0-a832a0eb822866ec85c03066d4931c2e&cdnQuality=orig
望京B1演播室大棚备,http://cba-exchange-hb.youku.com/cba-matrix/YMQwjBack.m3u8?auth_key=1735900770-0-0-15b46fbb5444f292f4ec21fc87e35bcb&cdnQuality=orig
北京台演播室拉流主,http://cba-exchange-hd.youku.com/cba-matrix/YMQbtvMain.m3u8?auth_key=1735900770-0-0-a07cbc91ae758ac613cb49c09ca2e4d0&cdnQuality=orig
北京台演播室拉流备,http://cba-exchange-hb.youku.com/cba-matrix/YMQbtvBack.m3u8?auth_key=1735900770-0-0-c42f57a8db753323b6360d9ac6bcf908&cdnQuality=orig
配音间1拉流主,http://cba-exchange-hb.youku.com/cba-matrix/YMQbtv-Voice01.m3u8?auth_key=1735900770-0-0-1de05d306af222311bdae3b7bce16979&cdnQuality=orig
配音间2拉流主,http://cba-exchange-hb.youku.com/cba-matrix/YMQbtv-Voice02.m3u8?auth_key=1735900770-0-0-e3379ee5e9d44adeecb24d741bea5ebc&cdnQuality=orig
配音间3拉流主,http://cba-exchange-hb.youku.com/cba-matrix/YMQbtv-Voice03.m3u8?auth_key=1735900770-0-0-04af01b0a50856eb209e072bd09a6778&cdnQuality=orig
姜连东拉流,http://cba-exchange-hb.youku.com/cba-matrix/YMQhost1JiangLianDong.m3u8?auth_key=1735900770-0-0-475911b9ee17ac28759650c1cd0913a2&cdnQuality=orig
鸿昆拉流,http://cba-exchange-hb.youku.com/cba-matrix/YMQhost2HongKun.m3u8?auth_key=1735900770-0-0-b117dceb4b145429ccd2b669c6eba675&cdnQuality=orig
杨弋非拉流,http://cba-exchange-hb.youku.com/cba-matrix/YMQhost3YangYiFei.m3u8?auth_key=1735900770-0-0-62ec7c2404ce8ed76d25c5b186d8bc52&cdnQuality=orig
姚全拉流,http://cba-exchange-hb.youku.com/cba-matrix/YMQhost3YaoQuan.m3u8?auth_key=1735900770-0-0-fece33539a311bcb7254c2b67d6d02d8&cdnQuality=orig
马秉聪拉流,http://cba-exchange-hb.youku.com/cba-matrix/YMQhost5MaBingCong.m3u8?auth_key=1735900770-0-0-68920d89f52e52c47b7fc2c74715c0f2&cdnQuality=orig
威全东拉流,http://cba-exchange-hd.youku.com/cba-matrix/YMQhost6WeiQuan.m3u8?auth_key=1735900770-0-0-4449945c209bb5d2ff8bba84ef706ebe&cdnQuality=orig
王奕佳拉流,http://cba-exchange-hd.youku.com/cba-matrix/YMQhost7WangYiJia.m3u8?auth_key=1735900774-0-0-2451b955306c883890dd716b865f2aca&cdnQuality=orig
佟艺拉流,http://cba-exchange-hb.youku.com/cba-matrix/YMQhost7TongYi.m3u8?auth_key=1735900774-0-0-b635e07a1de79d0712d99bc77ca7e7e7&cdnQuality=orig


📡羽毛球清流,#genre#
网络流拉流1号场主,http://cba-exchange-hd.youku.com/cba-matrix/YMQnetwork1.m3u8?auth_key=1735900770-0-0-844f03389313406b60863a124ee05197&cdnQuality=orig
Court1号场HKECS节点拉流备路,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-HKECS-sin01.m3u8?auth_key=1735900770-0-0-f18fc65148f57e589469ad9b1bbc5a38&cdnQuality=orig
网络流拉流2号场主,http://cba-exchange-hd.youku.com/cba-matrix/YMQnetwork2.m3u8?auth_key=1735900770-0-0-7a7e357dd01322e37f243b77758a04de&cdnQuality=orig
Court2号场HKECS节点拉流备路,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-HKECS-sin02.m3u8?auth_key=1735900770-0-0-ea85ee80d87cb09bd62ce33754b6effa&cdnQuality=orig
网络流拉流3号场主,http://cba-exchange-hd.youku.com/cba-matrix/YMQnetwork3.m3u8?auth_key=1735900770-0-0-8326f35636f6c21e42546f0fd3e38141&cdnQuality=orig
Court3号场HKECS节点拉流备路,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-HKECS-sin03.m3u8?auth_key=1735900770-0-0-8a3e3e7a4af6eefb3191dc8af5d40a86&cdnQuality=orig
网络流拉流4号场主,http://cba-exchange-hd.youku.com/cba-matrix/YMQnetwork4.m3u8?auth_key=1735900770-0-0-7d64b8f65ab31bf1b69096dc9467b30c&cdnQuality=orig
Court4号场HKECS节点拉流备路,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-HKECS-sin04.m3u8?auth_key=1735900770-0-0-054fa320bbded7c0161f49ba4477c80a&cdnQuality=orig
卫星1号场源流主,http://cba-exchange-hd.youku.com/cba-matrix/YMQdown1main.m3u8?auth_key=1735900770-0-0-68304251eb94101ab7fb73fb37a02f0a&cdnQuality=orig
卫星1号场源流备,http://cba-exchange-hb.youku.com/cba-matrix/YMQdown1back.m3u8?auth_key=1735900770-0-0-0342c540daeb5dca8ae94f5f0287227d&cdnQuality=orig
卫星2号场源流主,http://cba-exchange-hd.youku.com/cba-matrix/YMQdown2main.m3u8?auth_key=1735900770-0-0-d8d1fc1b56746ce4915655fca83cbe25&cdnQuality=orig
卫星2号场源流备,http://cba-exchange-hb.youku.com/cba-matrix/YMQdown2back.m3u8?auth_key=1735900770-0-0-95c26a59c6567a6c4160eb3e6708e074&cdnQuality=orig
卫星3号场源流主,http://cba-exchange-hd.youku.com/cba-matrix/YMQdown3main.m3u8?auth_key=1735900770-0-0-0caa28620ef84d51b9575198a5c33b4b&cdnQuality=orig
卫星3号场源流备,http://cba-exchange-hb.youku.com/cba-matrix/YMQdown3back.m3u8?auth_key=1735900770-0-0-9c9df7b4ee52efd8d9ec7f96f412f65f&cdnQuality=orig
卫星4号场源流主,http://cba-exchange-hd.youku.com/cba-matrix/YMQdown4main.m3u8?auth_key=1735900770-0-0-49dab9784f0d6186dd1019a1c8acf841&cdnQuality=orig
卫星4号场源流备,http://cba-exchange-hb.youku.com/cba-matrix/YMQdown4back.m3u8?auth_key=1735900770-0-0-f43214475f18e7301c96aa6c864f3a22&cdnQuality=orig
独立场次源流拉流1号主,http://cba-exchange-hb.youku.com/cba-matrix/YMQ-TemporaryLive-main.m3u8?auth_key=1735900774-0-0-401d00817c07dacb39fd3be27ff09027&cdnQuality=orig
独立场次源流拉流1号备,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-TemporaryLive-backup.m3u8?auth_key=1735900774-0-0-1ab1c62540796a3703620907b313fc45&cdnQuality=orig
独立场次源流拉流2号主,http://cba-exchange-hb.youku.com/cba-matrix/YMQ-TemporaryLive2-main.m3u8?auth_key=1735900774-0-0-c62d63b4f5ccc60b371c51052d491aa3&cdnQuality=orig
独立场次源流拉流2号备,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-TemporaryLive2-backup.m3u8?auth_key=1735900774-0-0-0777f0e3a43d78052c1b9eda8239943c&cdnQuality=orig
独立场次源流拉流3号主,http://cba-exchange-hb.youku.com/cba-matrix/YMQ-TemporaryLive3-main.m3u8?auth_key=1735900774-0-0-75858101d8222a774bbdb4935eeeee62&cdnQuality=orig
独立场次源流拉流3号备,http://cba-exchange-hd.youku.com/cba-matrix/YMQ-TemporaryLive3-backup.m3u8?auth_key=1735900774-0-0-1bb599ec0a4774fb020f393578e98651&cdnQuality=orig


🧵窄高非窄高,#genre#
华东窄高tmallx合流,http://dmon-ilp-hd.youku.com/hdd-ent/tmallx.m3u8?auth_key=1735897910-0-0-41d6aa41b9ec35930a24ecd17d8d002b&cdnQuality=orig
华北窄高tmallx合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmallx.m3u8?auth_key=1735897916-0-0-c4df5ad02118d6b658bd02b935f1787d&cdnQuality=orig
华北窄高tmallc合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmallc.m3u8?auth_key=1735897926-0-0-dc25e4cb73a9d29b333e8c20f8a94bd7&cdnQuality=orig
华北窄高tmalld合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmalld.m3u8?auth_key=1735897934-0-0-803eea736ca10d8328e71cdd7ba2760d&cdnQuality=orig
华北窄高tmalle合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmalle.m3u8?auth_key=1735897944-0-0-729946e7479da51a9cf8a4bb7da3e314&cdnQuality=orig
华东hdda合流,http://dmon-ilp-hd.youku.com/hdd-ent/hdda.m3u8?auth_key=1735892620-0-0-19a15718c9f1d07acaa50e32a24a296a&cdnQuality=orig
华东hddb合流,http://dmon-ilp-hd.youku.com/hdd-ent/hddb.m3u8?auth_key=1735892674-0-0-c3a74c61dce601caf8474ccf3f150a20&cdnQuality=orig
华东hddc合流,http://dmon-ilp-hd.youku.com/hdd-ent/hddc.m3u8?auth_key=1735892694-0-0-ee1b96243eff88d7b08b93f2750c0bf4&cdnQuality=orig
华东hdd4ka合流,http://dmon-ilp-hd.youku.com/hdd4k-ent/hdd4ka.m3u8?auth_key=1735892702-0-0-8e096cd5f6c7521fbdd03cfdfd223f8c&cdnQuality=orig
华东hdd4kb合流,http://dmon-ilp-hd.youku.com/hdd4k-ent/hdd4kb.m3u8?auth_key=1735892720-0-0-bea64f14db1085481fdcacf6178e0b4d&cdnQuality=orig
华东hd1合流,http://dmon-ilp-hd.youku.com/hd-ent/hd1.m3u8?auth_key=1735892756-0-0-fb0f37fb4cf73967288fd12973ce0654&cdnQuality=orig
华东hd2合流,http://dmon-ilp-hd.youku.com/hd-ent/hd2.m3u8?auth_key=1735893016-0-0-34075041510023562f4bc7bf840ad472&cdnQuality=orig
华东hd3合流,http://dmon-ilp-hd.youku.com/hd-ent/hd3.m3u8?auth_key=1735893038-0-0-1ceeb00d1eac3e333c2ba5fb8d0faa52&cdnQuality=orig
华东hd4合流,http://dmon-ilp-hd.youku.com/hd-ent/hd4.m3u8?auth_key=1735893048-0-0-d3f75e9897c9c8edd20772ef35a1b62a&cdnQuality=orig
华东hd5合流,http://dmon-ilp-hd.youku.com/hd-ent/hd5.m3u8?auth_key=1735893056-0-0-80c500d6b3cc1f16f349639ff0e96dfd&cdnQuality=orig
华东hd6合流,http://dmon-ilp-hd.youku.com/hd-ent/hd6.m3u8?auth_key=1735893066-0-0-5a8d8722c6904460728a44996ff26c78&cdnQuality=orig
华东hd7合流,http://dmon-ilp-hd.youku.com/hd-ent/hd7.m3u8?auth_key=1735893080-0-0-9666f7c3a73b883409903cfd834bd1c1&cdnQuality=orig
华东hd8合流,http://dmon-ilp-hd.youku.com/hd-ent/hd8.m3u8?auth_key=1735893092-0-0-bd605b11585ac03dc9a9799ffd0ff55d&cdnQuality=orig
华北hdda合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hdda.m3u8?auth_key=1735893114-0-0-499ecaf9b508c85f9a33a585e6ec2ee9&cdnQuality=orig
华北hddb合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hddb.m3u8?auth_key=1735893124-0-0-18bfa5cfafe36ed0a76ff06fec091d32&cdnQuality=orig
华北hddc合流,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hddc.m3u8?auth_key=1735893138-0-0-ba08cd36b85d5708ce3375442d589dfa&cdnQuality=orig
华北hdd4ka合流,http://dmon-ilp-hb.youku.com/hdd4k-ent/highability-hdd4ka.m3u8?auth_key=1735893149-0-0-b3583a6de7c1f13da01f50809d2616ef&cdnQuality=orig
华北hd1合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd1.m3u8?auth_key=1735893162-0-0-1c9db546a4621ba691b9a51836642954&cdnQuality=orig
华北hd2合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd2.m3u8?auth_key=1735893172-0-0-3e39411a4cb7a2d961c4349579dfaa74&cdnQuality=orig
华北hd3合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd3.m3u8?auth_key=1735893180-0-0-42bb97fa7ea151e1fb819f785564fede&cdnQuality=orig
华北hd4合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd4.m3u8?auth_key=1735893198-0-0-aebffdcb592a606a025d7e85f639ae40&cdnQuality=orig
华北hd5合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd5.m3u8?auth_key=1735893210-0-0-4a46aa925197ae757921db3f1dfe2590&cdnQuality=orig
华北hd6合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd6.m3u8?auth_key=1735893218-0-0-4ba9a2525c5544e6f202262f1851a65f&cdnQuality=orig
华北hd7合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd7.m3u8?auth_key=1735893226-0-0-08d2d7361e4710556b9f6ab9895d6c62&cdnQuality=orig
华北hd8合流,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd8.m3u8?auth_key=1735893236-0-0-308dca25319a582829e25b5e3438646a&cdnQuality=orig
mix2023scene264,http://dmon-ilp-hd.youku.com/hdd4k-ent/mix2023scene264.m3u8?auth_key=1735893328-0-0-f5958ff51465d27c7e015737f0b2c97f&cdnQuality=orig
mix2023scene265,http://dmon-ilp-hd.youku.com/hdd4k-ent/mix2023scene265.m3u8?auth_key=1735893338-0-0-1b8023a6987e0e496275f1772a98fd8b&cdnQuality=orig


📱T6/hdv合流,#genre#
T6模版合流t6merge1,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge1.m3u8?auth_key=1735893578-0-0-028c72a56a044bef3c583f9d00e3fba9&cdnQuality=orig
T6模版合流t6merge2,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge2.m3u8?auth_key=1735893588-0-0-88ccf7c04729797573602af14b130d8d&cdnQuality=orig
T6模版合流t6merge3,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge3.m3u8?auth_key=1735893598-0-0-ea87a245cb9240ab6870f79285f173fb&cdnQuality=orig
T6模版合流t6merge4,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge4.m3u8?auth_key=1735893608-0-0-7f3e6da33f8f7428512628647417f673&cdnQuality=orig
T6模版合流t6merge5,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge5.m3u8?auth_key=1735893646-0-0-e0296c6ae6a768a4403d7b063ec5a1e2&cdnQuality=orig
T6模版合流t6merge6,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge6.m3u8?auth_key=1735893654-0-0-e3202c69877e9ef3fde9a8b42679ae63&cdnQuality=orig
T6模版合流t6merge7,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge7.m3u8?auth_key=1735893668-0-0-ba596048428f0b7be4ba574eb6932877&cdnQuality=orig
T6模版合流t6merge8,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge8.m3u8?auth_key=1735893678-0-0-a475f1014847f7f75e39c7e2039bccd1&cdnQuality=orig
T6模版合流t6merge9,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge9.m3u8?auth_key=1735893620-0-0-86cf3fbbca6b0afab1743a9ff5dddb7f&cdnQuality=orig
T6模版合流t6merge10,http://dno-501-1001-ilp.youku.com/v1-100100011/t6merge10.m3u8?auth_key=1735893688-0-0-c06dc100b1bd301025dbf3ed6d70af98&cdnQuality=orig
华东窄高竖屏hdv1,http://dmon-ilp-hd.youku.com/hd-ent-v/hdv1.m3u8?auth_key=1735893722-0-0-b5cea057c7c95138f2ce0e2fe004b7b1&cdnQuality=orig
华东窄高竖屏hdv2,http://dmon-ilp-hd.youku.com/hd-ent-v/hdv2.m3u8?auth_key=1735893734-0-0-3089bb51406536732b97cd1632c5c9b6&cdnQuality=orig
华东窄高竖屏hdv3,http://dmon-ilp-hd.youku.com/hd-ent-v/hdv3.m3u8?auth_key=1735893744-0-0-26f72ed63478d68bae00ba8f99bd35e9&cdnQuality=orig
华东窄高竖屏hdv4,http://dmon-ilp-hd.youku.com/hd-ent-v/hdv4.m3u8?auth_key=1735893753-0-0-c70971b68503b40fe1272acecc9bd0e7&cdnQuality=orig
华东窄高竖屏hdv5,http://dmon-ilp-hd.youku.com/hd-ent-v/hdv5.m3u8?auth_key=1735893762-0-0-ebaf9876218fb884230b2d812b5cdc04&cdnQuality=orig


💻窄高非窄高转码,#genre#
华东窄高tmallx-720p,http://dmon-ilp-hd.youku.com/hdd-ent/tmallx_4yk720.m3u8?auth_key=1735899391-0-0-e68c5dd506ed27b5e866f52c7c34a237&cdnQuality=720p
华东窄高tmallx-1080p,http://dmon-ilp-hd.youku.com/hdd-ent/tmallx_4yk1080.m3u8?auth_key=1735899391-0-0-37765380927db50493c87d7ad15d0087&cdnQuality=1080p
华北窄高tmallx-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmallx_4yk720.m3u8?auth_key=1735899440-0-0-0de14c68558af4fe41c3db42e54af2e0&cdnQuality=720p
华北窄高tmallx-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmallx_4yk1080.m3u8?auth_key=1735899440-0-0-348dde623f71f5dca5bb2977bb57076c&cdnQuality=1080p
华北窄高tmallc-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmallc_4yk720.m3u8?auth_key=1735899460-0-0-fc4f9657e00869c5bc101ec3aa613bc0&cdnQuality=720p
华北窄高tmallc-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmallc_4yk1080.m3u8?auth_key=1735899460-0-0-27ec1674ba291f98181da17915ebf50c&cdnQuality=1080p
华北窄高tmalld-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmalld_4yk720.m3u8?auth_key=1735899474-0-0-3389f8f1e045716622f1145da4e40585&cdnQuality=720p
华北窄高tmalld-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmalld_4yk1080.m3u8?auth_key=1735899474-0-0-3b8c4a144c733e0e4fa5815d0877a4bb&cdnQuality=1080p
华北窄高tmalle-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmalle_4yk720.m3u8?auth_key=1735899490-0-0-4e4024b86fb8a40207ed8d335724c9a3&cdnQuality=720p
华北窄高tmalle-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-tmalle_4yk1080.m3u8?auth_key=1735899490-0-0-d75d943f66ef03424be224576d81757e&cdnQuality=1080p
华东hdda-720p,http://dmon-ilp-hd.youku.com/hdd-ent/hdda_4yk720.m3u8?auth_key=1735895126-0-0-1e3e5092e3b3546a49354f2dab1cfd4c&cdnQuality=720p
华东hdda-1080p,http://dmon-ilp-hd.youku.com/hdd-ent/hdda_4yk1080.m3u8?auth_key=1735895126-0-0-af8077ae8e5826e5f326890ba550435e&cdnQuality=1080p
华东hddb-720p,http://dmon-ilp-hd.youku.com/hdd-ent/hddb_4yk720.m3u8?auth_key=1735895538-0-0-4ce7173411389d00d19a6660461800d4&cdnQuality=720p
华东hddb-1080p,http://dmon-ilp-hd.youku.com/hdd-ent/hddb_4yk1080.m3u8?auth_key=1735895538-0-0-1f945f7efd3ae0e65374ad4ba1744188&cdnQuality=1080p
华东hddc-720p,http://dmon-ilp-hd.youku.com/hdd-ent/hddc_4yk720.m3u8?auth_key=1735895628-0-0-a054384310b0ec4205940f8c9bd49cc3&cdnQuality=720p
华东hddc-1080p,http://dmon-ilp-hd.youku.com/hdd-ent/hddc_4yk1080.m3u8?auth_key=1735895628-0-0-19995114e4dceb6e14f59879ee0d1431&cdnQuality=1080p
华东hdd4ka-4K,http://dmon-ilp-hd.youku.com/hdd4k-ent/hdd4ka_5yk2160hbr.m3u8?auth_key=1735895646-0-0-69020cf9e8e663554234c02395dcf168&cdnQuality=4k
华东hdd4ka-1080p,http://dmon-ilp-hd.youku.com/hdd4k-ent/hdd4ka_4yk1080hbr.m3u8?auth_key=1735895646-0-0-d11193df4d86033bcb4d80902631ca23&cdnQuality=1080p
华东hdd4kb-4K,http://dmon-ilp-hd.youku.com/hdd4k-ent/hdd4kb_5yk2160hbr.m3u8?auth_key=1735895752-0-0-b13311367c0610f050fe7daad1c80ad2&cdnQuality=4k
华东hdd4kb-1080p,http://dmon-ilp-hd.youku.com/hdd4k-ent/hdd4kb_4yk1080hbr.m3u8?auth_key=1735895752-0-0-a0870afe4bfef51f106e1e2e2f3b3cb5&cdnQuality=1080p
华东hd1-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd1_4yk720.m3u8?auth_key=1735896036-0-0-016d392a6aa1397be26881f715cf5fcd&cdnQuality=720p
华东hd1-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd1_4yk1080.m3u8?auth_key=1735896036-0-0-01fc7ec9e91fd8d169e50c383ef21606&cdnQuality=1080p
华东hd2-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd2_4yk720.m3u8?auth_key=1735896060-0-0-db5ddc53ad8d5ba9e5a3f6118a1d31a0&cdnQuality=720p
华东hd2-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd2_4yk1080.m3u8?auth_key=1735896060-0-0-2bfe6223d33d4cb776f90806460d04ac&cdnQuality=1080p
华东hd3-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd3_4yk720.m3u8?auth_key=1735896082-0-0-a2b03bb9462e8059d43f87bf7970be71&cdnQuality=720p
华东hd3-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd3_4yk1080.m3u8?auth_key=1735896082-0-0-3d8def20f90a07cdf28312ee106ee98f&cdnQuality=1080p
华东hd4-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd4_4yk720.m3u8?auth_key=1735896098-0-0-a90bc3bfdc26a62c9b8a8babd22da6cc&cdnQuality=720p
华东hd4-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd4_4yk1080.m3u8?auth_key=1735896098-0-0-c3dd2283896b56df4e8d5bb79698c745&cdnQuality=1080p
华东hd5-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd5_4yk720.m3u8?auth_key=1735896116-0-0-2a1384b42414e1e15716bac47951e661&cdnQuality=720p
华东hd5-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd5_4yk1080.m3u8?auth_key=1735896116-0-0-080dc386d14fae60f86d22d673d3396b&cdnQuality=1080p
华东hd6-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd6_4yk720.m3u8?auth_key=1735896136-0-0-34be389a8524dcd2b21328d9e7d0dbd4&cdnQuality=720p
华东hd6-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd6_4yk1080.m3u8?auth_key=1735896136-0-0-2f20b344018eb81f17057762bfd86fec&cdnQuality=1080p
华东hd7-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd7_4yk720.m3u8?auth_key=1735896156-0-0-2edabc78ffe29343689cd04ca82ccacc&cdnQuality=720p
华东hd7-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd7_4yk1080.m3u8?auth_key=1735896156-0-0-186e75beeff6a5bbcdca8fac1989a9c5&cdnQuality=1080p
华东hd8-720p,http://dmon-ilp-hd.youku.com/hd-ent/hd8_4yk720.m3u8?auth_key=1735896174-0-0-5897858323f55076b195504cc24a5c7c&cdnQuality=720p
华东hd8-1080p,http://dmon-ilp-hd.youku.com/hd-ent/hd8_4yk1080.m3u8?auth_key=1735896174-0-0-95469a0818822ec252c5e9fc83e22d33&cdnQuality=1080p
华北hdda-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hdda_4yk720.m3u8?auth_key=1735896478-0-0-9cc1b2106fdc54192281a693c806faf6&cdnQuality=720p
华北hdda-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hdda_4yk1080.m3u8?auth_key=1735896478-0-0-102fe270cfa65ad504ebcbe6780544c7&cdnQuality=1080p
华北hddb-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hddb_4yk720.m3u8?auth_key=1735896504-0-0-3ecce17beb823fabbca704118ca0bcb8&cdnQuality=720p
华北hddb-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hddb_4yk1080.m3u8?auth_key=1735896504-0-0-66e3b8fa5dfb4e0de66c7a4ab0bda17e&cdnQuality=1080p
